Station,Latitude,Longitude,Temperature,Humidity,Temperature Min,Temperature Max,Wind Speed,Cloudines,Timezone,Latitude Division
Jonava,55.07,24.28,42.28,93,42.01,42.8,8.05,90,7200,Northern Temperate
Lisakovsk,52.55,62.49,6.67,92,6.67,6.67,11.41,100,21600,Northern Temperate
Houma,35.63,111.36,45.01,40,45.01,45.01,3.11,0,28800,Northern Temperate
Chipata,-13.64,32.65,82.09,58,82.09,82.09,5.99,40,7200,Tropic_Capricorn
Sabha,27.03,14.43,65.07,16,65.07,65.07,8.57,0,7200,Northern Temperate
Kayerkan,69.35,87.76,1.4,77,1.4,1.4,22.37,75,25200,Arctic
Pisco,-13.71,-76.2,67.5,82,66.99,68.0,6.93,93,-18000,Tropic_Capricorn
Naryan-Mar,67.67,53.09,17.19,94,17.19,17.19,15.82,100,10800,Arctic
Hollola,60.99,25.5,36.01,99,34.0,37.99,1.01,100,7200,Northern Temperate
Capao da Canoa,-29.75,-50.01,67.53,74,67.53,67.53,20.76,2,-10800,Southern_Temperate
Clyde River,70.47,-68.59,-0.4,84,-0.4,-0.4,6.93,75,-18000,Arctic
Saint-Augustin,45.63,-73.98,14.97,85,12.0,23.0,3.36,90,-18000,Northern Temperate
Salinopolis,-0.61,-47.36,82.89,79,82.89,82.89,21.63,96,-10800,Tropic_Capricorn
Stephenville,48.55,-58.59,23.29,62,21.99,24.8,5.82,75,-12600,Northern Temperate
Salinas,36.67,-121.66,51.46,70,45.0,57.2,14.36,1,-28800,Northern Temperate
Oksfjord,70.24,22.35,18.82,85,14.0,28.4,10.29,75,3600,Arctic
Chokurdakh,70.62,147.9,-12.03,98,-12.03,-12.03,8.84,99,39600,Arctic
Mackay,53.65,-115.58,12.2,100,12.2,12.2,5.82,1,-25200,Northern Temperate
Tingo Maria,-9.29,-76.01,58.64,94,58.64,58.64,2.3,76,-18000,Tropic_Capricorn
Paita,-5.09,-81.11,68.81,84,68.81,68.81,5.37,90,-18000,Tropic_Capricorn
Lasa,34.92,32.53,65.16,59,64.4,66.2,4.7,20,7200,Northern Temperate
Parati,-20.51,-54.63,69.8,100,69.8,69.8,3.36,75,-14400,Tropic_Capricorn
Bambanglipuro,-7.95,110.28,83.08,73,83.08,83.08,9.31,99,25200,Tropic_Capricorn
Manono,-7.3,27.4,81.0,67,81.0,81.0,4.83,58,7200,Tropic_Capricorn
Tilichiki,60.47,166.1,-4.63,99,-4.63,-4.63,10.78,100,43200,Northern Temperate
Longyearbyen,78.22,15.63,19.4,67,19.4,19.4,18.34,20,3600,Arctic
Fairbanks,64.84,-147.72,-30.05,91,-36.4,-22.0,1.36,20,-32400,Northern Temperate
Saldanha,41.42,-6.55,49.1,93,49.1,49.1,21.05,82,0,Northern Temperate
Saint George,39.45,22.34,61.84,82,59.0,64.4,5.82,75,7200,Northern Temperate
Ust-Kuyga,70.0,135.55,-24.11,100,-24.11,-24.11,2.46,100,36000,Arctic
Half Moon Bay,37.46,-122.43,51.06,71,44.01,57.0,16.11,75,-28800,Northern Temperate
Blackwater,51.33,-0.78,44.47,87,42.01,46.4,11.41,40,0,Northern Temperate
Srednekolymsk,67.46,153.71,-16.76,97,-16.76,-16.76,1.95,96,39600,Arctic
Petatlan,17.52,-101.27,78.22,70,78.22,78.22,6.11,57,-21600,Tropic_Cancer
Litovko,49.24,135.18,-10.16,91,-10.16,-10.16,7.72,0,36000,Northern Temperate
Gat,14.69,-16.54,67.51,18,62.6,73.4,11.41,0,0,Tropic_Cancer
Conakry,9.52,-13.7,80.6,78,80.6,80.6,2.24,0,0,Tropic_Cancer
Konstantinovka,46.85,29.85,53.58,73,53.58,53.58,17.22,89,7200,Northern Temperate
San Vicente,-0.59,-80.41,73.92,86,73.92,73.92,12.66,100,-18000,Tropic_Capricorn
Amurzet,47.69,131.09,-3.01,90,-3.01,-3.01,5.01,0,36000,Northern Temperate
Beringovskiy,63.05,179.32,22.05,69,22.05,22.05,13.31,100,43200,Northern Temperate
Motygino,58.18,94.69,-11.0,94,-11.0,-11.0,5.1,100,25200,Northern Temperate
Kaeo,-35.1,173.78,58.51,91,57.99,59.0,1.01,0,46800,Southern_Temperate
Dwarka,28.58,77.04,58.51,87,55.4,61.0,9.17,40,19800,Northern Temperate
Sikeston,36.88,-89.59,42.03,80,39.2,46.0,3.11,90,-21600,Northern Temperate
Kavaratti,10.57,72.64,82.92,80,82.92,82.92,14.12,79,19800,Tropic_Cancer
Saint-Joseph,43.56,6.97,56.19,47,51.01,60.8,19.46,0,3600,Northern Temperate
Salamiyah,35.01,37.05,59.34,37,59.34,59.34,1.59,0,7200,Northern Temperate
Balikpapan,-1.24,116.86,80.8,89,80.8,80.8,1.79,100,28800,Tropic_Capricorn
Santa Cruz,-6.22,-36.02,71.89,84,71.89,71.89,9.84,100,-10800,Tropic_Capricorn
Charters Towers,-20.07,146.27,82.4,49,82.4,82.4,15.19,0,36000,Tropic_Capricorn
Batticaloa,7.71,81.69,79.54,87,79.54,79.54,5.26,100,19800,Tropic_Cancer
Pandan,11.72,122.09,81.63,76,81.63,81.63,16.28,39,28800,Tropic_Cancer
Chimala,-8.86,34.02,58.78,92,58.78,58.78,3.76,100,10800,Tropic_Capricorn
Nelson Bay,-32.72,152.14,66.47,93,64.99,68.0,13.87,75,39600,Southern_Temperate
Katsuura,33.93,134.5,43.39,87,39.2,46.4,9.17,90,32400,Northern Temperate
Zhangye,38.94,100.46,34.09,20,34.09,34.09,1.77,0,28800,Northern Temperate
Deqing,30.54,119.97,50.65,87,50.0,52.0,4.47,75,28800,Northern Temperate
Huarmey,-10.07,-78.15,67.1,81,67.1,67.1,2.42,100,-18000,Tropic_Capricorn
Borogontsy,62.67,131.17,-35.27,97,-35.27,-35.27,2.13,100,32400,Northern Temperate
Tomatlan,19.93,-105.25,64.31,66,64.31,64.31,4.68,0,-21600,Tropic_Cancer
Nampicuan,15.73,120.64,87.8,48,87.8,87.8,2.24,40,28800,Tropic_Cancer
Saint-Marc,19.1,-72.7,65.46,91,65.46,65.46,4.61,0,-18000,Tropic_Cancer
Mandera,3.94,41.86,86.0,32,86.0,86.0,1.01,83,10800,Tropic_Cancer
Palmas,-10.18,-48.33,78.8,78,78.8,78.8,8.05,40,-10800,Tropic_Capricorn
Bilibino,68.06,166.44,-33.16,96,-33.16,-33.16,2.57,0,43200,Arctic
Tonala,20.62,-103.23,50.27,87,48.2,52.0,2.8,75,-21600,Tropic_Cancer
Barra Patuca,15.8,-84.28,77.9,86,77.9,77.9,18.54,6,-21600,Tropic_Cancer
Vardo,39.62,-77.74,19.96,100,14.0,26.01,3.13,1,-18000,Northern Temperate
Caravelas,-17.73,-39.27,72.81,89,72.81,72.81,6.96,57,-10800,Tropic_Capricorn
Tautira,-17.73,-149.15,80.29,78,80.01,80.6,15.35,75,-36000,Tropic_Capricorn
Iberia,-11.41,-69.49,71.58,99,71.58,71.58,2.06,100,-18000,Tropic_Capricorn
Pacific Grove,36.62,-121.92,51.4,70,45.0,57.2,21.97,1,-28800,Northern Temperate
Kununurra,-15.77,128.74,87.8,55,87.8,87.8,19.46,100,28800,Tropic_Capricorn
Namatanai,-3.66,152.44,83.91,75,83.91,83.91,8.32,100,36000,Tropic_Capricorn
Airai,-8.93,125.41,75.07,76,75.07,75.07,5.35,83,32400,Tropic_Capricorn
Havoysund,71.0,24.66,28.4,79,28.4,28.4,23.04,49,3600,Arctic
Dong Xoai,11.53,106.92,88.0,51,88.0,88.0,4.9,80,25200,Tropic_Cancer
Makakilo City,21.35,-158.09,75.11,64,75.0,75.2,5.82,1,-36000,Tropic_Cancer
Saint-Pierre,48.95,4.24,47.5,93,46.0,48.2,18.34,90,3600,Northern Temperate
San Carlos de Bariloche,-41.13,-71.31,39.2,80,39.2,39.2,3.36,85,-10800,Southern_Temperate
Forfar,56.64,-2.89,37.31,100,35.6,39.0,0.54,75,0,Northern Temperate
Cartagena,37.63,-1.0,64.44,45,61.0,66.0,11.41,0,3600,Northern Temperate
Along,28.17,94.8,57.58,83,57.58,57.58,3.69,68,19800,Northern Temperate
Kondopoga,62.21,34.27,32.0,95,32.0,32.0,2.24,100,10800,Northern Temperate
Broken Hill,-31.97,141.45,93.2,5,93.2,93.2,14.99,99,37800,Southern_Temperate
Rio Gallegos,-51.62,-69.22,53.6,46,53.6,53.6,11.41,96,-10800,Southern_Temperate
Shu,43.6,73.76,27.18,85,27.18,27.18,8.7,100,21600,Northern Temperate
Jonesboro,35.84,-90.7,40.19,93,37.0,44.6,8.05,40,-21600,Northern Temperate
Palu,-0.9,119.87,74.7,86,74.7,74.7,2.42,100,28800,Tropic_Capricorn
Komsomolskiy,67.55,63.78,0.27,97,0.27,0.27,6.87,89,10800,Arctic
Lancaster,40.04,-76.31,19.42,85,14.0,25.0,2.57,1,-18000,Northern Temperate
Palmer,-34.85,139.16,77.74,22,75.0,80.01,9.17,98,37800,Southern_Temperate
Qaqortoq,60.72,-46.03,35.6,31,35.6,35.6,17.22,40,-10800,Northern Temperate
Uralets,57.66,59.65,6.55,91,6.55,6.55,5.66,45,18000,Northern Temperate
Uvarovka,55.53,35.61,37.11,96,37.11,37.11,8.86,100,10800,Northern Temperate
Florianopolis,-27.6,-48.55,69.33,88,61.0,73.4,1.12,100,-10800,Southern_Temperate
Bella Vista,-27.03,-65.31,62.6,88,62.6,62.6,3.36,0,-10800,Southern_Temperate
Mossendjo,-2.95,12.72,84.9,60,84.9,84.9,2.06,91,3600,Tropic_Capricorn
Destin,30.39,-86.5,53.91,93,51.8,55.99,11.41,90,-21600,Northern Temperate
Sinop,42.03,35.15,53.6,76,53.6,53.6,2.24,75,10800,Northern Temperate
Camargo,27.69,-105.17,41.52,34,41.52,41.52,1.81,0,-25200,Northern Temperate
Esmeraldas,-19.76,-44.31,68.65,94,68.0,69.8,2.24,66,-10800,Tropic_Capricorn
Mayumba,-3.44,10.65,79.66,76,79.66,79.66,2.95,80,3600,Tropic_Capricorn
High Level,58.52,-117.13,3.2,84,3.2,3.2,6.93,90,-25200,Northern Temperate
San Quintin,17.54,120.52,78.03,79,78.03,78.03,4.41,75,28800,Tropic_Cancer
Metro,-5.11,105.31,83.77,77,83.77,83.77,10.71,100,25200,Tropic_Capricorn
Kulhudhuffushi,6.62,73.07,82.78,80,82.78,82.78,19.33,100,18000,Tropic_Cancer
Jiazi,19.61,110.49,71.6,88,71.6,71.6,6.71,75,28800,Tropic_Cancer
Ponta do Sol,-20.63,-46.0,66.42,94,66.42,66.42,2.33,74,-10800,Tropic_Capricorn
Seydi,13.34,7.75,69.8,21,69.8,69.8,16.11,20,3600,Tropic_Cancer
Antalya,36.9,30.69,59.0,72,59.0,59.0,5.82,75,10800,Northern Temperate
Haines Junction,60.75,-137.51,-3.87,97,-3.87,-3.87,2.44,100,-28800,Northern Temperate
Nouakchott,18.08,-15.98,62.6,20,62.6,62.6,9.17,100,0,Tropic_Cancer
Lipin Bor,60.26,37.97,33.58,95,33.58,33.58,8.37,100,10800,Northern Temperate
Kalmunai,7.42,81.82,81.54,82,81.54,81.54,16.75,61,19800,Tropic_Cancer
Ingham,-18.65,146.16,76.15,78,76.15,76.15,3.83,0,36000,Tropic_Capricorn
Sirtich,41.83,48.23,42.57,89,42.57,42.57,4.59,100,10800,Northern Temperate
Trairi,-3.28,-39.27,74.84,76,74.84,74.84,8.39,88,-10800,Tropic_Capricorn
Aleksandrovsk-Sakhalinskiy,50.9,142.16,5.54,71,5.54,5.54,12.77,30,39600,Northern Temperate
Mitsamiouli,-11.38,43.28,87.8,66,87.8,87.8,8.05,40,10800,Tropic_Capricorn
Haimen,31.87,121.18,52.39,67,51.01,54.0,3.33,100,28800,Northern Temperate
North Bend,43.41,-124.22,43.05,100,41.0,45.0,4.7,90,-28800,Northern Temperate
Rocha,-34.48,-54.34,58.57,80,58.57,58.57,13.91,99,-10800,Southern_Temperate
Meulaboh,4.14,96.13,82.69,75,82.69,82.69,11.05,78,25200,Tropic_Cancer
Tame,6.46,-71.72,71.47,84,71.47,71.47,4.65,41,-18000,Tropic_Cancer
Batemans Bay,-35.71,150.18,60.28,71,57.99,63.0,1.01,100,39600,Southern_Temperate
Vila Velha,-3.71,-38.6,82.26,69,80.01,86.0,13.87,75,-10800,Tropic_Capricorn
Diamantino,-14.4,-56.44,68.32,96,68.32,68.32,0.36,100,-14400,Tropic_Capricorn
Chimbote,-9.08,-78.59,66.43,87,66.43,66.43,2.42,99,-18000,Tropic_Capricorn
Aswan,24.09,32.9,64.4,31,64.4,64.4,10.29,0,7200,Northern Temperate
Klaksvik,62.23,-6.59,41.0,93,41.0,41.0,6.93,84,0,Northern Temperate
Shache,38.42,77.24,28.0,94,28.0,28.0,9.71,0,28800,Northern Temperate
Toamasina,-18.17,49.38,87.8,70,87.8,87.8,10.29,40,10800,Tropic_Capricorn
Conceicao do Araguaia,-8.26,-49.26,72.63,97,72.63,72.63,1.48,100,-10800,Tropic_Capricorn
Mabaruma,8.2,-59.78,70.56,99,70.56,70.56,1.41,45,-14400,Tropic_Cancer
Broome,52.47,1.45,45.48,100,44.01,46.99,10.29,75,0,Northern Temperate
Thiers,45.86,3.55,47.7,61,45.0,50.0,27.51,100,3600,Northern Temperate
Biak,-0.91,122.88,85.28,69,85.28,85.28,5.73,45,28800,Tropic_Capricorn
Langsa,4.47,97.97,85.39,60,85.39,85.39,7.29,52,25200,Tropic_Cancer
Ouargaye,11.5,0.06,82.56,10,82.56,82.56,17.29,0,0,Tropic_Cancer
Henties Bay,-22.12,14.28,66.0,84,66.0,66.0,5.01,33,7200,Tropic_Capricorn
Ayr,-19.58,147.4,80.01,78,80.01,80.01,5.01,0,36000,Tropic_Capricorn
Yumen,40.29,97.04,34.63,17,34.63,34.63,7.43,0,28800,Northern Temperate
Dongying,37.43,118.67,40.08,60,40.08,40.08,8.19,29,28800,Northern Temperate
Jhunjhunun,28.13,75.4,67.46,27,67.46,67.46,8.12,0,19800,Northern Temperate
Scarborough,54.28,-0.41,41.9,100,41.0,43.0,3.36,100,0,Northern Temperate
Cruzeiro do Sul,-7.63,-72.67,70.72,99,70.72,70.72,1.66,100,-18000,Tropic_Capricorn
Miri,10.31,9.75,76.68,13,76.68,76.68,7.9,76,3600,Tropic_Cancer
Mokhotlong,-29.29,29.06,68.07,38,68.07,68.07,9.95,94,7200,Southern_Temperate
Northampton,-28.35,114.63,77.0,65,77.0,77.0,23.04,40,28800,Southern_Temperate
Muromtsevo,56.37,75.24,19.71,95,19.71,19.71,4.18,100,21600,Northern Temperate
Teya,21.05,-89.07,74.16,94,73.4,75.0,4.7,75,-21600,Tropic_Cancer
Altamira,-3.2,-52.21,72.61,99,72.61,72.61,0.51,62,-10800,Tropic_Capricorn
Xinqing,48.28,129.53,-4.27,98,-4.27,-4.27,2.53,100,28800,Northern Temperate
Port Hedland,-20.31,118.58,89.6,66,89.6,89.6,20.8,83,28800,Tropic_Capricorn
Umm Kaddadah,13.6,26.69,76.53,25,76.53,76.53,16.15,0,7200,Tropic_Cancer
Tezu,27.93,96.16,68.04,56,68.04,68.04,2.77,84,19800,Northern Temperate
Okhotsk,59.36,143.24,-25.31,66,-25.31,-25.31,15.57,66,36000,Northern Temperate
Hakkari,61.34,23.75,35.01,100,33.8,36.0,9.17,90,7200,Northern Temperate
Ormara,25.21,64.64,72.5,36,72.5,72.5,6.08,0,18000,Northern Temperate
Oktyabrskoye,56.73,85.44,28.72,86,28.4,28.99,8.95,40,25200,Northern Temperate
Saposoa,-6.93,-76.77,64.85,98,64.85,64.85,2.08,100,-18000,Tropic_Capricorn
Sosnovo-Ozerskoye,52.53,111.54,-14.89,98,-14.89,-14.89,2.06,23,28800,Northern Temperate
Mogadishu,2.04,45.34,86.0,58,86.0,86.0,18.34,75,10800,Tropic_Cancer
Otaru,43.18,140.99,26.17,86,26.01,26.6,4.7,75,32400,Northern Temperate
Eldoret,0.52,35.27,69.8,56,69.8,69.8,10.29,75,10800,Tropic_Cancer
Sandane,61.77,6.22,34.43,79,27.0,41.0,2.24,48,3600,Northern Temperate
Coihaique,-45.58,-72.07,53.6,81,53.6,53.6,6.93,90,-10800,Southern_Temperate
Vrangel,42.73,133.08,25.34,44,25.34,25.34,5.12,0,36000,Northern Temperate
Saint-Georges,46.12,-70.67,7.97,89,5.0,10.99,1.01,100,-18000,Northern Temperate
Lata,30.78,78.62,25.59,31,25.59,25.59,6.46,0,19800,Northern Temperate
Leshukonskoye,64.9,45.76,32.18,97,32.18,32.18,9.91,100,10800,Northern Temperate
Belgaum,15.87,74.5,82.4,51,82.4,82.4,11.41,40,19800,Tropic_Cancer
Salalah,17.01,54.1,80.6,26,80.6,80.6,18.34,0,14400,Tropic_Cancer
Spring Valley,41.33,-89.2,32.92,90,30.0,37.0,8.05,1,-21600,Northern Temperate
Yumaguzino,52.9,56.39,5.11,94,5.11,5.11,3.22,35,18000,Northern Temperate
Kudahuvadhoo,2.67,72.89,83.34,78,83.34,83.34,12.26,100,18000,Tropic_Cancer
Husavik,50.56,-96.99,11.91,95,10.99,12.99,3.0,100,-21600,Northern Temperate
Manaus,-3.13,-59.98,77.0,100,77.0,77.0,3.36,75,-14400,Tropic_Capricorn
Villa Maria,4.5,-74.09,53.6,87,53.6,53.6,2.24,40,-18000,Tropic_Cancer
Vao,59.1,26.19,39.88,97,39.88,39.88,7.0,100,7200,Northern Temperate
Aksu,52.04,76.93,17.6,85,17.6,17.6,15.66,75,21600,Northern Temperate
Madang,35.32,102.79,31.89,35,31.89,31.89,0.87,0,28800,Northern Temperate
Quibor,9.93,-69.62,62.6,92,62.6,62.6,5.82,85,-14400,Tropic_Cancer
Sarh,9.14,18.39,90.25,12,90.25,90.25,6.91,0,3600,Tropic_Cancer
Hailey,43.52,-114.32,28.58,66,26.01,32.0,6.93,1,-25200,Northern Temperate
Dengzhou,32.69,112.08,54.84,49,54.84,54.84,5.93,0,28800,Northern Temperate
Yenagoa,4.92,6.26,88.23,53,88.23,88.23,3.49,21,3600,Tropic_Cancer
Muros,42.77,-9.06,57.97,93,53.6,62.01,20.8,75,3600,Northern Temperate
Ketchikan,55.34,-131.65,38.32,100,37.4,39.2,4.7,90,-32400,Northern Temperate
Tuatapere,-46.13,167.69,54.0,77,54.0,54.0,18.01,46,46800,Southern_Temperate
Morros,-2.87,-44.04,80.6,83,80.6,80.6,6.93,40,-10800,Tropic_Capricorn
Kajaani,64.22,27.73,32.0,91,32.0,32.0,4.7,75,7200,Northern Temperate
Synya,65.37,58.04,10.83,90,10.83,10.83,13.0,100,10800,Northern Temperate
Moosomin,50.14,-101.67,37.4,72,37.4,37.4,14.27,100,-21600,Northern Temperate
Khorinsk,52.16,109.78,-9.17,96,-9.17,-9.17,0.36,28,28800,Northern Temperate
Amol,36.47,52.35,57.87,53,57.87,57.87,2.19,100,12600,Northern Temperate
Cody,44.53,-109.06,34.27,26,27.0,42.8,12.75,1,-25200,Northern Temperate
Hasaki,35.73,140.83,45.66,93,45.0,46.4,13.87,75,32400,Northern Temperate
Tigil,57.8,158.67,1.81,96,1.81,1.81,6.22,97,43200,Northern Temperate
Nuuk,64.17,-51.74,21.2,85,21.2,21.2,9.17,100,-10800,Northern Temperate
Sisimiut,66.94,-53.67,4.77,61,4.77,4.77,4.72,23,-10800,Arctic
Pramanta,39.52,21.1,54.36,87,50.0,57.2,12.75,90,7200,Northern Temperate
Beloha,-25.17,45.06,100.58,26,100.58,100.58,1.9,0,10800,Southern_Temperate
Azangaro,-14.91,-70.2,42.55,87,42.55,42.55,2.93,100,-18000,Tropic_Capricorn
Saint Anthony,43.97,-111.68,22.71,79,21.0,24.8,6.93,1,-25200,Northern Temperate
Pivijay,10.46,-74.62,80.85,78,80.6,81.0,11.41,100,-18000,Tropic_Cancer
Farrukhnagar,28.45,76.82,58.24,87,55.4,61.0,9.17,40,19800,Northern Temperate
Bystryy Istok,52.37,84.39,25.47,84,25.47,25.47,4.85,91,25200,Northern Temperate
Khambhat,22.32,72.62,82.4,48,82.4,82.4,5.82,0,19800,Tropic_Cancer
Port Shepstone,-30.74,30.45,70.86,77,70.86,70.86,10.07,100,7200,Southern_Temperate
Kuandian,40.73,124.78,27.19,90,27.19,27.19,6.02,100,28800,Northern Temperate
Neosho,43.31,-88.52,36.28,93,33.01,39.2,8.05,1,-21600,Northern Temperate
Tutoia,-2.76,-42.27,76.59,78,76.59,76.59,8.43,54,-10800,Tropic_Capricorn
Taltal,-25.41,-70.49,55.83,92,55.83,55.83,5.01,55,-10800,Southern_Temperate
Necochea,-38.55,-58.74,46.0,87,39.99,55.0,1.99,0,-10800,Southern_Temperate
Cockburn Town,21.46,-71.14,78.67,75,78.67,78.67,15.14,5,-18000,Tropic_Cancer
Surt,31.21,16.59,65.91,20,65.91,65.91,16.64,0,7200,Northern Temperate
Nicoya,10.15,-85.45,73.0,1,73.0,73.0,5.19,100,-21600,Tropic_Cancer
Rayong,12.68,101.28,92.46,66,84.2,97.0,10.29,40,25200,Tropic_Cancer
Adrar,27.87,-0.29,51.8,40,51.8,51.8,5.82,0,3600,Northern Temperate
Mehamn,71.03,27.85,26.47,81,26.47,26.47,3.0,100,3600,Arctic
Korgen,66.08,13.83,33.8,74,33.8,33.8,11.41,100,3600,Arctic
Zdvinsk,54.7,78.67,18.91,94,18.91,18.91,8.28,98,25200,Northern Temperate
Deputatskiy,69.3,139.9,-24.29,97,-24.29,-24.29,7.23,75,36000,Arctic
Gizo,31.8,34.94,64.69,48,62.01,66.2,2.24,0,7200,Northern Temperate
San Cristobal,14.68,-86.92,60.53,98,60.53,60.53,2.89,90,-21600,Tropic_Cancer
Valdivia,-39.81,-73.25,41.0,100,41.0,41.0,2.37,80,-10800,Southern_Temperate
Havre-Saint-Pierre,50.23,-63.6,6.8,84,6.8,6.8,8.05,1,-18000,Northern Temperate
Tirano,46.22,10.17,36.97,100,24.8,45.0,1.12,40,3600,Northern Temperate
Kuala Terengganu,5.33,103.14,84.07,74,84.0,84.2,5.82,40,28800,Tropic_Cancer
Peterhead,-34.83,138.5,77.61,22,75.0,80.01,9.17,99,37800,Southern_Temperate
Cumberland,41.97,-71.43,26.01,100,19.99,32.0,5.61,1,-18000,Northern Temperate
Mahibadhoo,3.78,72.97,82.56,82,82.56,82.56,16.55,100,18000,Tropic_Cancer
Galesburg,40.95,-90.37,34.09,90,32.0,37.0,4.7,1,-21600,Northern Temperate
Gamba,28.28,88.52,29.26,15,29.26,29.26,10.67,0,28800,Northern Temperate
Mangrol,25.33,76.51,74.46,33,74.46,74.46,7.85,0,19800,Northern Temperate
Paramonga,-10.68,-77.82,66.45,93,66.45,66.45,8.95,100,-18000,Tropic_Capricorn
Lircay,-12.99,-74.72,46.99,89,46.99,46.99,2.93,100,-18000,Tropic_Capricorn
Beira,43.2,-8.36,56.86,87,53.01,60.01,18.34,40,3600,Northern Temperate
Scottsbluff,41.87,-103.67,31.48,86,25.0,39.2,4.7,1,-25200,Northern Temperate
Jackville,5.21,-4.42,82.4,83,82.4,82.4,3.36,20,0,Tropic_Cancer
Palimbang,14.9,120.78,86.13,48,84.99,87.8,2.24,40,28800,Tropic_Cancer
Baglung,28.27,83.59,47.59,42,47.59,47.59,6.13,8,20700,Northern Temperate
Constitucion,23.99,-104.67,44.01,81,44.01,44.01,4.59,0,-21600,Northern Temperate
Lishui,28.45,119.91,48.11,88,48.11,48.11,4.29,92,28800,Northern Temperate
Asyut,27.18,31.19,50.0,81,50.0,50.0,9.17,2,7200,Northern Temperate
Jiaocheng,24.68,116.14,66.9,60,66.9,66.9,2.8,10,28800,Northern Temperate
Raymond,49.47,-112.67,28.22,92,28.0,28.4,4.7,1,-25200,Northern Temperate
Rock Sound,24.9,-76.2,74.05,79,74.05,74.05,16.67,100,-18000,Northern Temperate
Bonavista,48.65,-53.11,24.01,80,24.01,24.01,13.0,100,-12600,Northern Temperate
San Patricio,-26.98,-56.83,57.67,93,57.67,57.67,4.16,0,-10800,Southern_Temperate
Copiapo,-27.37,-70.33,57.2,87,57.2,57.2,3.36,20,-10800,Southern_Temperate
Galle,10.08,-12.83,76.57,33,76.57,76.57,1.9,0,0,Tropic_Cancer
Ewa Beach,21.32,-158.01,75.11,64,75.0,75.2,5.82,1,-36000,Tropic_Cancer
Dapaong,10.86,0.2,82.13,11,82.13,82.13,19.13,28,0,Tropic_Cancer
Lamu,35.77,102.37,29.08,27,29.08,29.08,3.96,0,28800,Northern Temperate
Kropotkin,45.43,40.58,50.99,46,50.99,50.99,7.72,0,10800,Northern Temperate
Chirongui,-12.93,45.15,87.8,74,87.8,87.8,8.05,28,10800,Tropic_Capricorn
